CategoryName,SubCategoryName,ActivityName,TaskName,ParentTaskName,TaskDescription,DepartmentName,UserName,AssignedDate,CloseDate,BookedDate,Hours
Initiation and Planning,Project Planning,Project Planning,Project schedule,,Develop the detailed project schedule,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-11,8
Initiation and Planning,Project Planning,Project Planning,Project schedule,,Develop the detailed project schedule,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-12,8
Initiation and Planning,Project Planning,Project Planning,Project schedule,,Develop the detailed project schedule,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-13,8
Initiation and Planning,Project Planning,Project Planning,Critical path analysis,Project schedule,Identify and analyse the project critical path,Project Management,John Davis,2026-02-16,2026-02-20,2026-02-16,8
Initiation and Planning,Project Planning,Project Planning,Critical path analysis,Project schedule,Identify and analyse the project critical path,Project Management,John Davis,2026-02-16,2026-02-20,2026-02-17,8
Initiation and Planning,Project Planning,Project Planning,Budget plan,,Develop the project budget and cost management plan,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-23,8
Initiation and Planning,Project Planning,Project Planning,Budget plan,,Develop the project budget and cost management plan,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-24,8
Initiation and Planning,Project Planning,Project Planning,Budget plan,,Develop the project budget and cost management plan,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-25,8
Initiation and Planning,Project Planning,Project Planning,Quality management plan,,Develop the project quality management plan,Project Management,John Davis,2026-03-02,2026-03-06,2026-03-02,8
Initiation and Planning,Project Planning,Project Planning,Quality management plan,,Develop the project quality management plan,Project Management,John Davis,2026-03-02,2026-03-06,2026-03-03,8
Initiation and Planning,Project Planning,Project Planning,Procurement plan,,Develop the project procurement management plan,Project Management,John Davis,2026-03-09,2026-03-13,2026-03-09,8
Initiation and Planning,Project Planning,Project Planning,Procurement plan,,Develop the project procurement management plan,Project Management,John Davis,2026-03-09,2026-03-13,2026-03-10,8
Initiation and Planning,Project Planning,Project Planning,Procurement plan,,Develop the project procurement management plan,Project Management,John Davis,2026-03-09,2026-03-13,2026-03-11,8
Initiation and Planning,Resource Allocation,Resource Allocation,Staffing plan,,Develop the project staffing and resourcing plan,Project Management,John Davis,2026-02-10,2026-02-20,2026-02-10,8
Initiation and Planning,Resource Allocation,Resource Allocation,Staffing plan,,Develop the project staffing and resourcing plan,Project Management,John Davis,2026-02-10,2026-02-20,2026-02-11,8
Initiation and Planning,Resource Allocation,Resource Allocation,Staffing plan,,Develop the project staffing and resourcing plan,Project Management,John Davis,2026-02-10,2026-02-20,2026-02-12,8
Initiation and Planning,Resource Allocation,Resource Allocation,Equipment procurement schedule,,Develop equipment procurement and delivery schedule,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-23,8
Initiation and Planning,Resource Allocation,Resource Allocation,Equipment procurement schedule,,Develop equipment procurement and delivery schedule,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-24,8
Initiation and Planning,Resource Allocation,Resource Allocation,Equipment procurement schedule,,Develop equipment procurement and delivery schedule,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-25,8
Initiation and Planning,Resource Allocation,Resource Allocation,Vendor selection,,Evaluate and select key project vendors and contractors,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-09,8
Initiation and Planning,Resource Allocation,Resource Allocation,Vendor selection,,Evaluate and select key project vendors and contractors,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-10,8
Initiation and Planning,Resource Allocation,Resource Allocation,Vendor selection,,Evaluate and select key project vendors and contractors,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-11,8
Initiation and Planning,Resource Allocation,Resource Allocation,Vendor selection,,Evaluate and select key project vendors and contractors,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-16,8
Initiation and Planning,Resource Allocation,Resource Allocation,Vendor selection,,Evaluate and select key project vendors and contractors,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-17,8
Design and Engineering,Architectural Design,Architectural Design,Site analysis,,Analyse site constraints and design opportunities,Architecture,David Wilson,2026-02-03,2026-02-13,2026-02-03,8
Design and Engineering,Architectural Design,Architectural Design,Site analysis,,Analyse site constraints and design opportunities,Architecture,David Wilson,2026-02-03,2026-02-13,2026-02-04,8
Design and Engineering,Architectural Design,Architectural Design,Site analysis,,Analyse site constraints and design opportunities,Architecture,David Wilson,2026-02-03,2026-02-13,2026-02-05,8
Design and Engineering,Architectural Design,Architectural Design,Space planning,,Develop the internal space planning layout,Architecture,David Wilson,2026-02-16,2026-03-06,2026-02-16,8
Design and Engineering,Architectural Design,Architectural Design,Space planning,,Develop the internal space planning layout,Architecture,David Wilson,2026-02-16,2026-03-06,2026-02-17,8
Design and Engineering,Architectural Design,Architectural Design,Space planning,,Develop the internal space planning layout,Architecture,David Wilson,2026-02-16,2026-03-06,2026-02-18,8
Design and Engineering,Architectural Design,Architectural Design,Space planning,,Develop the internal space planning layout,Architecture,David Wilson,2026-02-16,2026-03-06,2026-02-19,8
Design and Engineering,Architectural Design,Architectural Design,Space planning,,Develop the internal space planning layout,Architecture,David Wilson,2026-02-16,2026-03-06,2026-02-20,8
Design and Engineering,Architectural Design,Architectural Design,Server hall layout,Space planning,Develop detailed server hall floor plan,Architecture,David Wilson,2026-02-16,2026-02-27,2026-02-16,8
Design and Engineering,Architectural Design,Architectural Design,Server hall layout,Space planning,Develop detailed server hall floor plan,Architecture,David Wilson,2026-02-16,2026-02-27,2026-02-17,8
Design and Engineering,Architectural Design,Architectural Design,Server hall layout,Space planning,Develop detailed server hall floor plan,Architecture,David Wilson,2026-02-16,2026-02-27,2026-02-18,8
Design and Engineering,Architectural Design,Architectural Design,Support area layout,Space planning,Develop support and auxiliary area layouts,Architecture,David Wilson,2026-03-02,2026-03-06,2026-03-02,8
Design and Engineering,Architectural Design,Architectural Design,Support area layout,Space planning,Develop support and auxiliary area layouts,Architecture,David Wilson,2026-03-02,2026-03-06,2026-03-03,8
Design and Engineering,Architectural Design,Architectural Design,Facade design,,Develop the building facade and external design,Architecture,David Wilson,2026-03-09,2026-03-27,2026-03-09,8
Design and Engineering,Architectural Design,Architectural Design,Facade design,,Develop the building facade and external design,Architecture,David Wilson,2026-03-09,2026-03-27,2026-03-10,8
Design and Engineering,Architectural Design,Architectural Design,Facade design,,Develop the building facade and external design,Architecture,David Wilson,2026-03-09,2026-03-27,2026-03-11,8
Design and Engineering,Architectural Design,Architectural Design,Facade design,,Develop the building facade and external design,Architecture,David Wilson,2026-03-09,2026-03-27,2026-03-12,8
Design and Engineering,Architectural Design,Architectural Design,Detailed design package,,Compile the full detailed design drawing package,Architecture,David Wilson,2026-03-30,2026-05-01,2026-03-30,8
Design and Engineering,Architectural Design,Architectural Design,Detailed design package,,Compile the full detailed design drawing package,Architecture,David Wilson,2026-03-30,2026-05-01,2026-03-31,8
Design and Engineering,Architectural Design,Architectural Design,Detailed design package,,Compile the full detailed design drawing package,Architecture,David Wilson,2026-03-30,2026-05-01,2026-04-01,8
Design and Engineering,Architectural Design,Architectural Design,Detailed design package,,Compile the full detailed design drawing package,Architecture,David Wilson,2026-03-30,2026-05-01,2026-04-07,8
Design and Engineering,Architectural Design,Architectural Design,Detailed design package,,Compile the full detailed design drawing package,Architecture,David Wilson,2026-03-30,2026-05-01,2026-04-08,8
Design and Engineering,Architectural Design,Architectural Design,Detailed design package,,Compile the full detailed design drawing package,Architecture,David Wilson,2026-03-30,2026-05-01,2026-04-09,8
Design and Engineering,Architectural Design,Architectural Design,Detailed design package,,Compile the full detailed design drawing package,Architecture,David Wilson,2026-03-30,2026-05-01,2026-04-13,8
Design and Engineering,Architectural Design,Architectural Design,Detailed design package,,Compile the full detailed design drawing package,Architecture,David Wilson,2026-03-30,2026-05-01,2026-04-14,8
Design and Engineering,Architectural Design,Architectural Design,Drawing issue,,Issue design drawings for review and approval,Architecture,David Wilson,2026-05-04,2026-05-22,2026-05-04,8
Design and Engineering,Architectural Design,Architectural Design,Drawing issue,,Issue design drawings for review and approval,Architecture,David Wilson,2026-05-04,2026-05-22,2026-05-05,8
Design and Engineering,Architectural Design,Architectural Design,Drawing issue,,Issue design drawings for review and approval,Architecture,David Wilson,2026-05-04,2026-05-22,2026-05-06,8
Design and Engineering,Structural Design,Structural Design,Geotechnical assessment,,Review geotechnical reports and assess ground conditions,Structural Engineering,Rebecca Henderson,2026-02-17,2026-02-27,2026-02-17,8
Design and Engineering,Structural Design,Structural Design,Geotechnical assessment,,Review geotechnical reports and assess ground conditions,Structural Engineering,Rebecca Henderson,2026-02-17,2026-02-27,2026-02-18,8
Design and Engineering,Structural Design,Structural Design,Geotechnical assessment,,Review geotechnical reports and assess ground conditions,Structural Engineering,Rebecca Henderson,2026-02-17,2026-02-27,2026-02-19,8
Design and Engineering,Structural Design,Structural Design,Foundation scheme,,Develop the foundation design scheme,Structural Engineering,Rebecca Henderson,2026-03-02,2026-03-20,2026-03-02,8
Design and Engineering,Structural Design,Structural Design,Foundation scheme,,Develop the foundation design scheme,Structural Engineering,Rebecca Henderson,2026-03-02,2026-03-20,2026-03-03,8
Design and Engineering,Structural Design,Structural Design,Foundation scheme,,Develop the foundation design scheme,Structural Engineering,Rebecca Henderson,2026-03-02,2026-03-20,2026-03-04,8
Design and Engineering,Structural Design,Structural Design,Foundation scheme,,Develop the foundation design scheme,Structural Engineering,Rebecca Henderson,2026-03-02,2026-03-20,2026-03-05,8
Design and Engineering,Structural Design,Structural Design,Pile design,Foundation scheme,Design the pile foundation system,Structural Engineering,Anne Mills,2026-03-02,2026-03-13,2026-03-02,8
Design and Engineering,Structural Design,Structural Design,Pile design,Foundation scheme,Design the pile foundation system,Structural Engineering,Anne Mills,2026-03-02,2026-03-13,2026-03-03,8
Design and Engineering,Structural Design,Structural Design,Raft design,Foundation scheme,Design the raft foundation where applicable,Structural Engineering,Anne Mills,2026-03-16,2026-03-20,2026-03-16,8
Design and Engineering,Structural Design,Structural Design,Raft design,Foundation scheme,Design the raft foundation where applicable,Structural Engineering,Anne Mills,2026-03-16,2026-03-20,2026-03-17,8
Design and Engineering,Structural Design,Structural Design,Superstructure design,,Design the primary superstructure frame,Structural Engineering,Rebecca Henderson,2026-03-23,2026-04-17,2026-03-23,8
Design and Engineering,Structural Design,Structural Design,Superstructure design,,Design the primary superstructure frame,Structural Engineering,Rebecca Henderson,2026-03-23,2026-04-17,2026-03-24,8
Design and Engineering,Structural Design,Structural Design,Superstructure design,,Design the primary superstructure frame,Structural Engineering,Rebecca Henderson,2026-03-23,2026-04-17,2026-03-25,8
Design and Engineering,Structural Design,Structural Design,Superstructure design,,Design the primary superstructure frame,Structural Engineering,Rebecca Henderson,2026-03-23,2026-04-17,2026-03-26,8
Design and Engineering,Structural Design,Structural Design,Superstructure design,,Design the primary superstructure frame,Structural Engineering,Rebecca Henderson,2026-03-23,2026-04-17,2026-03-27,8
Design and Engineering,Structural Design,Structural Design,Connection design,,Design all structural connections and fixings,Structural Engineering,Anne Mills,2026-04-20,2026-05-01,2026-04-20,8
Design and Engineering,Structural Design,Structural Design,Connection design,,Design all structural connections and fixings,Structural Engineering,Anne Mills,2026-04-20,2026-05-01,2026-04-21,8
Design and Engineering,Structural Design,Structural Design,Connection design,,Design all structural connections and fixings,Structural Engineering,Anne Mills,2026-04-20,2026-05-01,2026-04-22,8
Design and Engineering,Structural Design,Structural Design,Design check,,Conduct independent check of the structural design,Structural Engineering,Rebecca Henderson,2026-05-04,2026-05-22,2026-05-04,8
Design and Engineering,Structural Design,Structural Design,Design check,,Conduct independent check of the structural design,Structural Engineering,Rebecca Henderson,2026-05-04,2026-05-22,2026-05-05,8
Design and Engineering,Structural Design,Structural Design,Design check,,Conduct independent check of the structural design,Structural Engineering,Rebecca Henderson,2026-05-04,2026-05-22,2026-05-06,8
Design and Engineering,Electrical System Design,Electrical System Design,Load schedule,,Prepare the electrical load schedule for all systems,Electrical Eng,Jessica Brown,2026-02-17,2026-03-06,2026-02-17,8
Design and Engineering,Electrical System Design,Electrical System Design,Load schedule,,Prepare the electrical load schedule for all systems,Electrical Eng,Jessica Brown,2026-02-17,2026-03-06,2026-02-18,8
Design and Engineering,Electrical System Design,Electrical System Design,Load schedule,,Prepare the electrical load schedule for all systems,Electrical Eng,Jessica Brown,2026-02-17,2026-03-06,2026-02-19,8
Design and Engineering,Electrical System Design,Electrical System Design,Load schedule,,Prepare the electrical load schedule for all systems,Electrical Eng,Jessica Brown,2026-02-17,2026-03-06,2026-02-20,8
Design and Engineering,Electrical System Design,Electrical System Design,HV/LV system design,,Design the high and low voltage distribution system,Electrical Eng,Jessica Brown,2026-03-09,2026-04-03,2026-03-09,8
Design and Engineering,Electrical System Design,Electrical System Design,HV/LV system design,,Design the high and low voltage distribution system,Electrical Eng,Jessica Brown,2026-03-09,2026-04-03,2026-03-10,8
Design and Engineering,Electrical System Design,Electrical System Design,HV/LV system design,,Design the high and low voltage distribution system,Electrical Eng,Jessica Brown,2026-03-09,2026-04-03,2026-03-11,8
Design and Engineering,Electrical System Design,Electrical System Design,HV/LV system design,,Design the high and low voltage distribution system,Electrical Eng,Jessica Brown,2026-03-09,2026-04-03,2026-03-12,8
Design and Engineering,Electrical System Design,Electrical System Design,HV/LV system design,,Design the high and low voltage distribution system,Electrical Eng,Jessica Brown,2026-03-09,2026-04-03,2026-03-13,8
Design and Engineering,Electrical System Design,Electrical System Design,Single line diagram,HV/LV system design,Produce the electrical single line diagram,Electrical Eng,Jessica Brown,2026-03-09,2026-03-20,2026-03-09,8
Design and Engineering,Electrical System Design,Electrical System Design,Single line diagram,HV/LV system design,Produce the electrical single line diagram,Electrical Eng,Jessica Brown,2026-03-09,2026-03-20,2026-03-10,8
Design and Engineering,Electrical System Design,Electrical System Design,Single line diagram,HV/LV system design,Produce the electrical single line diagram,Electrical Eng,Jessica Brown,2026-03-09,2026-03-20,2026-03-11,8
Design and Engineering,Electrical System Design,Electrical System Design,Protection coordination,HV/LV system design,Perform protection coordination study and settings,Electrical Eng,Robert Martinez,2026-03-23,2026-04-03,2026-03-23,8
Design and Engineering,Electrical System Design,Electrical System Design,Protection coordination,HV/LV system design,Perform protection coordination study and settings,Electrical Eng,Robert Martinez,2026-03-23,2026-04-03,2026-03-24,8
Design and Engineering,Electrical System Design,Electrical System Design,Protection coordination,HV/LV system design,Perform protection coordination study and settings,Electrical Eng,Robert Martinez,2026-03-23,2026-04-03,2026-03-25,8
Design and Engineering,Electrical System Design,Electrical System Design,Backup power design,,Design the UPS and generator backup power systems,Electrical Eng,Robert Martinez,2026-04-06,2026-04-30,2026-04-06,8
Design and Engineering,Electrical System Design,Electrical System Design,Backup power design,,Design the UPS and generator backup power systems,Electrical Eng,Robert Martinez,2026-04-06,2026-04-30,2026-04-07,8
Design and Engineering,Electrical System Design,Electrical System Design,Backup power design,,Design the UPS and generator backup power systems,Electrical Eng,Robert Martinez,2026-04-06,2026-04-30,2026-04-08,8
Design and Engineering,Electrical System Design,Electrical System Design,Backup power design,,Design the UPS and generator backup power systems,Electrical Eng,Robert Martinez,2026-04-06,2026-04-30,2026-04-09,8
Design and Engineering,Electrical System Design,Electrical System Design,Backup power design,,Design the UPS and generator backup power systems,Electrical Eng,Robert Martinez,2026-04-06,2026-04-30,2026-04-13,8
Design and Engineering,Electrical System Design,Electrical System Design,Cable schedule,,Prepare the electrical cable and tray schedule,Electrical Eng,Robert Martinez,2026-05-04,2026-05-22,2026-05-04,8
Design and Engineering,Electrical System Design,Electrical System Design,Cable schedule,,Prepare the electrical cable and tray schedule,Electrical Eng,Robert Martinez,2026-05-04,2026-05-22,2026-05-05,8
Design and Engineering,Electrical System Design,Electrical System Design,Cable schedule,,Prepare the electrical cable and tray schedule,Electrical Eng,Robert Martinez,2026-05-04,2026-05-22,2026-05-06,8
Design and Engineering,Electrical System Design,Electrical System Design,Cable schedule,,Prepare the electrical cable and tray schedule,Electrical Eng,Robert Martinez,2026-05-04,2026-05-22,2026-05-07,8
Design and Engineering,Electrical System Design,Electrical System Design,Design review,,Conduct design review and respond to comments,Electrical Eng,Jessica Brown,2026-05-25,2026-06-12,2026-05-25,8
Design and Engineering,Electrical System Design,Electrical System Design,Design review,,Conduct design review and respond to comments,Electrical Eng,Jessica Brown,2026-05-25,2026-06-12,2026-05-26,8
Design and Engineering,Electrical System Design,Electrical System Design,Design review,,Conduct design review and respond to comments,Electrical Eng,Jessica Brown,2026-05-25,2026-06-12,2026-05-27,8
Design and Engineering,Electrical System Design,Electrical System Design,Design review,,Conduct design review and respond to comments,Electrical Eng,Jessica Brown,2026-05-25,2026-06-12,2026-05-28,8
Design and Engineering,Cooling System Design,Cooling System Design,Thermal load calculation,,Calculate the heat load for all areas of the data center,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-13,2026-02-24,8
Design and Engineering,Cooling System Design,Cooling System Design,Thermal load calculation,,Calculate the heat load for all areas of the data center,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-13,2026-02-25,8
Design and Engineering,Cooling System Design,Cooling System Design,Thermal load calculation,,Calculate the heat load for all areas of the data center,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-13,2026-02-26,8
Design and Engineering,Cooling System Design,Cooling System Design,Thermal load calculation,,Calculate the heat load for all areas of the data center,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-13,2026-02-27,8
Design and Engineering,Cooling System Design,Cooling System Design,HVAC system selection,,Select and specify the HVAC equipment and systems,Mechanical Engineering,Marcus Brown,2026-03-16,2026-04-03,2026-03-16,8
Design and Engineering,Cooling System Design,Cooling System Design,HVAC system selection,,Select and specify the HVAC equipment and systems,Mechanical Engineering,Marcus Brown,2026-03-16,2026-04-03,2026-03-17,8
Design and Engineering,Cooling System Design,Cooling System Design,HVAC system selection,,Select and specify the HVAC equipment and systems,Mechanical Engineering,Marcus Brown,2026-03-16,2026-04-03,2026-03-18,8
Design and Engineering,Cooling System Design,Cooling System Design,HVAC system selection,,Select and specify the HVAC equipment and systems,Mechanical Engineering,Marcus Brown,2026-03-16,2026-04-03,2026-03-19,8
Design and Engineering,Cooling System Design,Cooling System Design,Ductwork and piping layout,,Design the ductwork and chilled water piping layout,Mechanical Engineering,Marcus Brown,2026-04-06,2026-05-08,2026-04-06,8
Design and Engineering,Cooling System Design,Cooling System Design,Ductwork and piping layout,,Design the ductwork and chilled water piping layout,Mechanical Engineering,Marcus Brown,2026-04-06,2026-05-08,2026-04-07,8
Design and Engineering,Cooling System Design,Cooling System Design,Ductwork and piping layout,,Design the ductwork and chilled water piping layout,Mechanical Engineering,Marcus Brown,2026-04-06,2026-05-08,2026-04-08,8
Design and Engineering,Cooling System Design,Cooling System Design,Ductwork and piping layout,,Design the ductwork and chilled water piping layout,Mechanical Engineering,Marcus Brown,2026-04-06,2026-05-08,2026-04-09,8
Design and Engineering,Cooling System Design,Cooling System Design,Ductwork and piping layout,,Design the ductwork and chilled water piping layout,Mechanical Engineering,Marcus Brown,2026-04-06,2026-05-08,2026-04-13,8
Design and Engineering,Cooling System Design,Cooling System Design,Supply air layout,Ductwork and piping layout,Design supply air distribution and diffuser layout,Mechanical Engineering,Marcus Brown,2026-04-06,2026-04-24,2026-04-06,8
Design and Engineering,Cooling System Design,Cooling System Design,Supply air layout,Ductwork and piping layout,Design supply air distribution and diffuser layout,Mechanical Engineering,Marcus Brown,2026-04-06,2026-04-24,2026-04-07,8
Design and Engineering,Cooling System Design,Cooling System Design,Supply air layout,Ductwork and piping layout,Design supply air distribution and diffuser layout,Mechanical Engineering,Marcus Brown,2026-04-06,2026-04-24,2026-04-08,8
Design and Engineering,Cooling System Design,Cooling System Design,Return air layout,Ductwork and piping layout,Design return air path and collection layout,Mechanical Engineering,Marcus Brown,2026-04-27,2026-05-08,2026-04-27,8
Design and Engineering,Cooling System Design,Cooling System Design,Return air layout,Ductwork and piping layout,Design return air path and collection layout,Mechanical Engineering,Marcus Brown,2026-04-27,2026-05-08,2026-04-28,8
Design and Engineering,Cooling System Design,Cooling System Design,Controls strategy,,Develop the cooling controls and automation strategy,Mechanical Engineering,Marcus Brown,2026-05-11,2026-06-19,2026-05-11,8
Design and Engineering,Cooling System Design,Cooling System Design,Controls strategy,,Develop the cooling controls and automation strategy,Mechanical Engineering,Marcus Brown,2026-05-11,2026-06-19,2026-05-12,8
Design and Engineering,Cooling System Design,Cooling System Design,Controls strategy,,Develop the cooling controls and automation strategy,Mechanical Engineering,Marcus Brown,2026-05-11,2026-06-19,2026-05-13,8
Design and Engineering,Cooling System Design,Cooling System Design,Controls strategy,,Develop the cooling controls and automation strategy,Mechanical Engineering,Marcus Brown,2026-05-11,2026-06-19,2026-05-14,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Hazard assessment,,Identify and classify fire hazards within the facility,Mechanical Engineering,Marcus Brown,2026-03-10,2026-03-20,2026-03-10,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Hazard assessment,,Identify and classify fire hazards within the facility,Mechanical Engineering,Marcus Brown,2026-03-10,2026-03-20,2026-03-11,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Hazard assessment,,Identify and classify fire hazards within the facility,Mechanical Engineering,Marcus Brown,2026-03-10,2026-03-20,2026-03-12,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,System selection,,Select and specify the fire suppression system type,Mechanical Engineering,Marcus Brown,2026-03-23,2026-03-27,2026-03-23,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,System selection,,Select and specify the fire suppression system type,Mechanical Engineering,Marcus Brown,2026-03-23,2026-03-27,2026-03-24,8
