CategoryName,SubCategoryName,ActivityName,TaskName,ParentTaskName,TaskDescription,DepartmentName,UserName,AssignedDate,CloseDate,BookedDate,Hours
Initiation and Planning,Project Planning,Project Planning,Schedule development,,Develop the project schedule and milestones,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-13,8
Initiation and Planning,Project Planning,Project Planning,Schedule development,,Develop the project schedule and milestones,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-16,8
Initiation and Planning,Project Planning,Project Planning,Schedule development,,Develop the project schedule and milestones,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-17,8
Initiation and Planning,Project Planning,Project Planning,Schedule development,,Develop the project schedule and milestones,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-18,8
Initiation and Planning,Project Planning,Project Planning,Risk register,,Identify and document project risks and mitigation actions,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-23,8
Initiation and Planning,Project Planning,Project Planning,Risk register,,Identify and document project risks and mitigation actions,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-24,8
Initiation and Planning,Project Planning,Project Planning,Risk register,,Identify and document project risks and mitigation actions,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-25,8
Initiation and Planning,Project Planning,Project Planning,Risk register,,Identify and document project risks and mitigation actions,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-26,8
Initiation and Planning,Project Planning,Project Planning,Risk register,,Identify and document project risks and mitigation actions,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-27,8
Initiation and Planning,Project Planning,Project Planning,Risk register,,Identify and document project risks and mitigation actions,Project Management,John Davis,2026-02-23,2026-03-06,2026-03-02,8
Initiation and Planning,Project Planning,Project Planning,Communication plan,,Develop the stakeholder communication plan,Project Management,John Davis,2026-03-09,2026-03-13,2026-03-09,8
Initiation and Planning,Project Planning,Project Planning,Communication plan,,Develop the stakeholder communication plan,Project Management,John Davis,2026-03-09,2026-03-13,2026-03-10,8
Initiation and Planning,Project Planning,Project Planning,Communication plan,,Develop the stakeholder communication plan,Project Management,John Davis,2026-03-09,2026-03-13,2026-03-11,8
Initiation and Planning,Project Planning,Project Planning,Communication plan,,Develop the stakeholder communication plan,Project Management,John Davis,2026-03-09,2026-03-13,2026-03-12,8
Initiation and Planning,Project Planning,Project Planning,Communication plan,,Develop the stakeholder communication plan,Project Management,John Davis,2026-03-09,2026-03-13,2026-03-13,4
Initiation and Planning,Resource Allocation,Resource Allocation,Team roster,,Identify and confirm the project team members and roles,Project Management,John Davis,2026-02-10,2026-02-20,2026-02-10,8
Initiation and Planning,Resource Allocation,Resource Allocation,Team roster,,Identify and confirm the project team members and roles,Project Management,John Davis,2026-02-10,2026-02-20,2026-02-11,8
Initiation and Planning,Resource Allocation,Resource Allocation,Team roster,,Identify and confirm the project team members and roles,Project Management,John Davis,2026-02-10,2026-02-20,2026-02-12,8
Initiation and Planning,Resource Allocation,Resource Allocation,Team roster,,Identify and confirm the project team members and roles,Project Management,John Davis,2026-02-10,2026-02-20,2026-02-13,8
Initiation and Planning,Resource Allocation,Resource Allocation,Equipment list,,Identify major equipment and procurement requirements,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-23,8
Initiation and Planning,Resource Allocation,Resource Allocation,Equipment list,,Identify major equipment and procurement requirements,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-24,8
Initiation and Planning,Resource Allocation,Resource Allocation,Equipment list,,Identify major equipment and procurement requirements,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-25,8
Initiation and Planning,Resource Allocation,Resource Allocation,Equipment list,,Identify major equipment and procurement requirements,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-26,8
Initiation and Planning,Resource Allocation,Resource Allocation,Equipment list,,Identify major equipment and procurement requirements,Project Management,John Davis,2026-02-23,2026-03-06,2026-02-27,8
Initiation and Planning,Resource Allocation,Resource Allocation,Budget allocation,,Allocate the project budget across activities and disciplines,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-09,8
Initiation and Planning,Resource Allocation,Resource Allocation,Budget allocation,,Allocate the project budget across activities and disciplines,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-10,8
Initiation and Planning,Resource Allocation,Resource Allocation,Budget allocation,,Allocate the project budget across activities and disciplines,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-11,8
Initiation and Planning,Resource Allocation,Resource Allocation,Budget allocation,,Allocate the project budget across activities and disciplines,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-12,8
Initiation and Planning,Resource Allocation,Resource Allocation,Budget allocation,,Allocate the project budget across activities and disciplines,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-13,8
Initiation and Planning,Resource Allocation,Resource Allocation,Budget allocation,,Allocate the project budget across activities and disciplines,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-16,8
Initiation and Planning,Resource Allocation,Resource Allocation,Budget allocation,,Allocate the project budget across activities and disciplines,Project Management,John Davis,2026-03-09,2026-03-27,2026-03-17,8
Design and Engineering,Architectural Design,Architectural Design,Concept design,,Develop the data center concept design,Architecture,David Wilson,2026-02-03,2026-02-27,2026-02-03,8
Design and Engineering,Architectural Design,Architectural Design,Concept design,,Develop the data center concept design,Architecture,David Wilson,2026-02-03,2026-02-27,2026-02-04,8
Design and Engineering,Architectural Design,Architectural Design,Concept design,,Develop the data center concept design,Architecture,David Wilson,2026-02-03,2026-02-27,2026-02-05,8
Design and Engineering,Architectural Design,Architectural Design,Concept design,,Develop the data center concept design,Architecture,David Wilson,2026-02-03,2026-02-27,2026-02-06,8
Design and Engineering,Architectural Design,Architectural Design,Concept design,,Develop the data center concept design,Architecture,David Wilson,2026-02-03,2026-02-27,2026-02-09,8
Design and Engineering,Architectural Design,Architectural Design,Floor plan,Concept design,Develop the data center floor plan layout,Architecture,David Wilson,2026-02-09,2026-02-20,2026-02-09,8
Design and Engineering,Architectural Design,Architectural Design,Floor plan,Concept design,Develop the data center floor plan layout,Architecture,David Wilson,2026-02-09,2026-02-20,2026-02-10,8
Design and Engineering,Architectural Design,Architectural Design,Floor plan,Concept design,Develop the data center floor plan layout,Architecture,David Wilson,2026-02-09,2026-02-20,2026-02-11,8
Design and Engineering,Architectural Design,Architectural Design,Floor plan,Concept design,Develop the data center floor plan layout,Architecture,David Wilson,2026-02-09,2026-02-20,2026-02-12,8
Design and Engineering,Architectural Design,Architectural Design,Floor plan,Concept design,Develop the data center floor plan layout,Architecture,David Wilson,2026-02-09,2026-02-20,2026-02-13,8
Design and Engineering,Architectural Design,Architectural Design,Elevations,Concept design,Develop building elevation drawings,Architecture,David Wilson,2026-02-16,2026-02-27,2026-02-16,8
Design and Engineering,Architectural Design,Architectural Design,Elevations,Concept design,Develop building elevation drawings,Architecture,David Wilson,2026-02-16,2026-02-27,2026-02-17,8
Design and Engineering,Architectural Design,Architectural Design,Elevations,Concept design,Develop building elevation drawings,Architecture,David Wilson,2026-02-16,2026-02-27,2026-02-18,8
Design and Engineering,Architectural Design,Architectural Design,Elevations,Concept design,Develop building elevation drawings,Architecture,David Wilson,2026-02-16,2026-02-27,2026-02-19,8
Design and Engineering,Architectural Design,Architectural Design,Building sections,Concept design,Develop building cross-section drawings,Architecture,David Wilson,2026-02-23,2026-02-27,2026-02-23,8
Design and Engineering,Architectural Design,Architectural Design,Building sections,Concept design,Develop building cross-section drawings,Architecture,David Wilson,2026-02-23,2026-02-27,2026-02-24,8
Design and Engineering,Architectural Design,Architectural Design,Building sections,Concept design,Develop building cross-section drawings,Architecture,David Wilson,2026-02-23,2026-02-27,2026-02-25,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-02,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-03,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-04,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-05,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-06,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-09,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-10,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-11,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-12,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-13,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-16,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-17,8
Design and Engineering,Architectural Design,Architectural Design,Design development,,Develop and refine the detailed architectural design,Architecture,David Wilson,2026-03-02,2026-04-17,2026-03-18,8
Design and Engineering,Architectural Design,Architectural Design,Design review,,Conduct internal and client design review,Architecture,David Wilson,2026-04-20,2026-05-22,2026-04-20,8
Design and Engineering,Architectural Design,Architectural Design,Design review,,Conduct internal and client design review,Architecture,David Wilson,2026-04-20,2026-05-22,2026-04-21,8
Design and Engineering,Architectural Design,Architectural Design,Design review,,Conduct internal and client design review,Architecture,David Wilson,2026-04-20,2026-05-22,2026-04-22,8
Design and Engineering,Architectural Design,Architectural Design,Design review,,Conduct internal and client design review,Architecture,David Wilson,2026-04-20,2026-05-22,2026-04-23,8
Design and Engineering,Architectural Design,Architectural Design,Design review,,Conduct internal and client design review,Architecture,David Wilson,2026-04-20,2026-05-22,2026-04-24,8
Design and Engineering,Architectural Design,Architectural Design,Design review,,Conduct internal and client design review,Architecture,David Wilson,2026-04-20,2026-05-22,2026-04-27,8
Design and Engineering,Architectural Design,Architectural Design,Design review,,Conduct internal and client design review,Architecture,David Wilson,2026-04-20,2026-05-22,2026-04-28,8
Design and Engineering,Architectural Design,Architectural Design,Design review,,Conduct internal and client design review,Architecture,David Wilson,2026-04-20,2026-05-22,2026-04-29,8
Design and Engineering,Structural Design,Structural Design,Foundation design,,Design the data center foundation system,Structural Engineering,Rebecca Henderson,2026-02-17,2026-03-13,2026-02-17,8
Design and Engineering,Structural Design,Structural Design,Foundation design,,Design the data center foundation system,Structural Engineering,Rebecca Henderson,2026-02-17,2026-03-13,2026-02-18,8
Design and Engineering,Structural Design,Structural Design,Foundation design,,Design the data center foundation system,Structural Engineering,Rebecca Henderson,2026-02-17,2026-03-13,2026-02-19,8
Design and Engineering,Structural Design,Structural Design,Foundation design,,Design the data center foundation system,Structural Engineering,Rebecca Henderson,2026-02-17,2026-03-13,2026-02-20,8
Design and Engineering,Structural Design,Structural Design,Foundation design,,Design the data center foundation system,Structural Engineering,Rebecca Henderson,2026-02-17,2026-03-13,2026-02-23,8
Design and Engineering,Structural Design,Structural Design,Foundation design,,Design the data center foundation system,Structural Engineering,Rebecca Henderson,2026-02-17,2026-03-13,2026-02-24,8
Design and Engineering,Structural Design,Structural Design,Foundation design,,Design the data center foundation system,Structural Engineering,Rebecca Henderson,2026-02-17,2026-03-13,2026-02-25,8
Design and Engineering,Structural Design,Structural Design,Main structure design,,Design the primary structural system,Structural Engineering,Rebecca Henderson,2026-03-16,2026-04-10,2026-03-16,8
Design and Engineering,Structural Design,Structural Design,Main structure design,,Design the primary structural system,Structural Engineering,Rebecca Henderson,2026-03-16,2026-04-10,2026-03-17,8
Design and Engineering,Structural Design,Structural Design,Main structure design,,Design the primary structural system,Structural Engineering,Rebecca Henderson,2026-03-16,2026-04-10,2026-03-18,8
Design and Engineering,Structural Design,Structural Design,Main structure design,,Design the primary structural system,Structural Engineering,Rebecca Henderson,2026-03-16,2026-04-10,2026-03-19,8
Design and Engineering,Structural Design,Structural Design,Main structure design,,Design the primary structural system,Structural Engineering,Rebecca Henderson,2026-03-16,2026-04-10,2026-03-20,8
Design and Engineering,Structural Design,Structural Design,Steel frame design,Main structure design,Design the primary steel frame,Structural Engineering,Rebecca Henderson,2026-03-16,2026-03-27,2026-03-16,8
Design and Engineering,Structural Design,Structural Design,Steel frame design,Main structure design,Design the primary steel frame,Structural Engineering,Rebecca Henderson,2026-03-16,2026-03-27,2026-03-17,8
Design and Engineering,Structural Design,Structural Design,Steel frame design,Main structure design,Design the primary steel frame,Structural Engineering,Rebecca Henderson,2026-03-16,2026-03-27,2026-03-18,8
Design and Engineering,Structural Design,Structural Design,Steel frame design,Main structure design,Design the primary steel frame,Structural Engineering,Rebecca Henderson,2026-03-16,2026-03-27,2026-03-19,8
Design and Engineering,Structural Design,Structural Design,Steel frame design,Main structure design,Design the primary steel frame,Structural Engineering,Rebecca Henderson,2026-03-16,2026-03-27,2026-03-20,8
Design and Engineering,Structural Design,Structural Design,Concrete design,Main structure design,Design the reinforced concrete elements,Structural Engineering,Anne Mills,2026-03-30,2026-04-10,2026-03-30,8
Design and Engineering,Structural Design,Structural Design,Concrete design,Main structure design,Design the reinforced concrete elements,Structural Engineering,Anne Mills,2026-03-30,2026-04-10,2026-03-31,8
Design and Engineering,Structural Design,Structural Design,Concrete design,Main structure design,Design the reinforced concrete elements,Structural Engineering,Anne Mills,2026-03-30,2026-04-10,2026-04-01,8
Design and Engineering,Structural Design,Structural Design,Concrete design,Main structure design,Design the reinforced concrete elements,Structural Engineering,Anne Mills,2026-03-30,2026-04-10,2026-04-02,8
Design and Engineering,Structural Design,Structural Design,Concrete design,Main structure design,Design the reinforced concrete elements,Structural Engineering,Anne Mills,2026-03-30,2026-04-10,2026-04-07,8
Design and Engineering,Structural Design,Structural Design,Raised floor design,,Design the raised floor system,Structural Engineering,Anne Mills,2026-04-13,2026-04-24,2026-04-13,8
Design and Engineering,Structural Design,Structural Design,Raised floor design,,Design the raised floor system,Structural Engineering,Anne Mills,2026-04-13,2026-04-24,2026-04-14,8
Design and Engineering,Structural Design,Structural Design,Raised floor design,,Design the raised floor system,Structural Engineering,Anne Mills,2026-04-13,2026-04-24,2026-04-15,8
Design and Engineering,Structural Design,Structural Design,Raised floor design,,Design the raised floor system,Structural Engineering,Anne Mills,2026-04-13,2026-04-24,2026-04-16,8
Design and Engineering,Structural Design,Structural Design,Structural review,,Conduct structural design peer review,Structural Engineering,Rebecca Henderson,2026-04-27,2026-05-22,2026-04-27,8
Design and Engineering,Structural Design,Structural Design,Structural review,,Conduct structural design peer review,Structural Engineering,Rebecca Henderson,2026-04-27,2026-05-22,2026-04-28,8
Design and Engineering,Structural Design,Structural Design,Structural review,,Conduct structural design peer review,Structural Engineering,Rebecca Henderson,2026-04-27,2026-05-22,2026-04-29,8
Design and Engineering,Structural Design,Structural Design,Structural review,,Conduct structural design peer review,Structural Engineering,Rebecca Henderson,2026-04-27,2026-05-22,2026-04-30,8
Design and Engineering,Structural Design,Structural Design,Structural review,,Conduct structural design peer review,Structural Engineering,Rebecca Henderson,2026-04-27,2026-05-22,2026-05-04,8
Design and Engineering,Structural Design,Structural Design,Structural review,,Conduct structural design peer review,Structural Engineering,Rebecca Henderson,2026-04-27,2026-05-22,2026-05-05,8
Design and Engineering,Electrical System Design,Electrical System Design,Power distribution design,,Design the main power distribution system,Electrical Eng,Jessica Brown,2026-02-17,2026-03-20,2026-02-17,8
Design and Engineering,Electrical System Design,Electrical System Design,Power distribution design,,Design the main power distribution system,Electrical Eng,Jessica Brown,2026-02-17,2026-03-20,2026-02-18,8
Design and Engineering,Electrical System Design,Electrical System Design,Power distribution design,,Design the main power distribution system,Electrical Eng,Jessica Brown,2026-02-17,2026-03-20,2026-02-19,8
Design and Engineering,Electrical System Design,Electrical System Design,Power distribution design,,Design the main power distribution system,Electrical Eng,Jessica Brown,2026-02-17,2026-03-20,2026-02-20,8
Design and Engineering,Electrical System Design,Electrical System Design,Power distribution design,,Design the main power distribution system,Electrical Eng,Jessica Brown,2026-02-17,2026-03-20,2026-02-23,8
Design and Engineering,Electrical System Design,Electrical System Design,Power distribution design,,Design the main power distribution system,Electrical Eng,Jessica Brown,2026-02-17,2026-03-20,2026-02-24,8
Design and Engineering,Electrical System Design,Electrical System Design,Power distribution design,,Design the main power distribution system,Electrical Eng,Jessica Brown,2026-02-17,2026-03-20,2026-02-25,8
Design and Engineering,Electrical System Design,Electrical System Design,UPS system design,,Design the uninterruptible power supply system,Electrical Eng,Jessica Brown,2026-03-23,2026-04-10,2026-03-23,8
Design and Engineering,Electrical System Design,Electrical System Design,UPS system design,,Design the uninterruptible power supply system,Electrical Eng,Jessica Brown,2026-03-23,2026-04-10,2026-03-24,8
Design and Engineering,Electrical System Design,Electrical System Design,UPS system design,,Design the uninterruptible power supply system,Electrical Eng,Jessica Brown,2026-03-23,2026-04-10,2026-03-25,8
Design and Engineering,Electrical System Design,Electrical System Design,UPS system design,,Design the uninterruptible power supply system,Electrical Eng,Jessica Brown,2026-03-23,2026-04-10,2026-03-26,8
Design and Engineering,Electrical System Design,Electrical System Design,UPS system design,,Design the uninterruptible power supply system,Electrical Eng,Jessica Brown,2026-03-23,2026-04-10,2026-03-27,8
Design and Engineering,Electrical System Design,Electrical System Design,Generator system design,,Design the standby generator system,Electrical Eng,Robert Martinez,2026-04-13,2026-04-30,2026-04-13,8
Design and Engineering,Electrical System Design,Electrical System Design,Generator system design,,Design the standby generator system,Electrical Eng,Robert Martinez,2026-04-13,2026-04-30,2026-04-14,8
Design and Engineering,Electrical System Design,Electrical System Design,Generator system design,,Design the standby generator system,Electrical Eng,Robert Martinez,2026-04-13,2026-04-30,2026-04-15,8
Design and Engineering,Electrical System Design,Electrical System Design,Generator system design,,Design the standby generator system,Electrical Eng,Robert Martinez,2026-04-13,2026-04-30,2026-04-16,8
Design and Engineering,Electrical System Design,Electrical System Design,Generator system design,,Design the standby generator system,Electrical Eng,Robert Martinez,2026-04-13,2026-04-30,2026-04-20,8
Design and Engineering,Electrical System Design,Electrical System Design,Lighting design,,Design the lighting and emergency lighting system,Electrical Eng,Robert Martinez,2026-05-04,2026-05-15,2026-05-04,8
Design and Engineering,Electrical System Design,Electrical System Design,Lighting design,,Design the lighting and emergency lighting system,Electrical Eng,Robert Martinez,2026-05-04,2026-05-15,2026-05-05,8
Design and Engineering,Electrical System Design,Electrical System Design,Lighting design,,Design the lighting and emergency lighting system,Electrical Eng,Robert Martinez,2026-05-04,2026-05-15,2026-05-06,8
Design and Engineering,Electrical System Design,Electrical System Design,Lighting design,,Design the lighting and emergency lighting system,Electrical Eng,Robert Martinez,2026-05-04,2026-05-15,2026-05-07,8
Design and Engineering,Electrical System Design,Electrical System Design,Electrical calculations,,Prepare load and short circuit calculations,Electrical Eng,Jessica Brown,2026-05-18,2026-06-12,2026-05-18,8
