artefacttitle,artefactownername
Influent and Treated Water Piping - Pipe Support Drawings,Patricia Taylor
Residuals Piping - Isometric Drawings,Patricia Taylor
Residuals Piping - Layout Drawings,Patricia Taylor
Residuals Piping - Pipe Support Drawings,Patricia Taylor
Ferric Chloride Piping - Isometric Drawings,Patricia Taylor
Ferric Chloride Piping - Layout Drawings,Patricia Taylor
Ferric Chloride Piping - Pipe Support Drawings,Patricia Taylor
Polymer Addition Piping - Isometric Drawings,Patricia Taylor
Polymer Addition Piping - Layout Drawings,Patricia Taylor
Polymer Addition Piping - Pipe Support Drawings,Patricia Taylor
Flow Meters Influent and treated water - Instrument Location Plan,Kevin Zhang
Flow Meters Backwash - Instrument Location Plan,Kevin Zhang
Flow Meters Residuals - Instrument Location Plan,Kevin Zhang
High/Low Alarm - Instrument Location Plan,Kevin Zhang
Temperature meters - Instrument Location Plan,Kevin Zhang
Head loss sensors - Instrument Location Plan,Kevin Zhang
Sampling Ports - Instrument Location Plan,Kevin Zhang
ORP sensor - Instrument Location Plan,Kevin Zhang
Turbidity meters - Instrument Location Plan,Kevin Zhang
Perchlorate/Nitrate Analyzer - Instrument Location Plan,Kevin Zhang
Dissolved Oxygen Analyzer - Instrument Location Plan,Kevin Zhang
PLC Unit - Instrument Location Plan,Kevin Zhang
Operator Equipment - Instrument Location Plan,Kevin Zhang
Controls Software - Instrument Location Plan,Kevin Zhang
Residuals Pump - Single Line Diagram,Jessica Brown
Residuals Pump - Cable Layout,Jessica Brown
Electron Donor Metering - Single Line Diagram,Jessica Brown
Electron Donor Metering - Cable Layout,Jessica Brown
Phosphoric Acid Metering - Single Line Diagram,Jessica Brown
Phosphoric Acid Metering - Cable Layout,Jessica Brown
Blowers - Single Line Diagram,Jessica Brown
Blowers - Cable Layout,Jessica Brown
Ferric Chloride Metering to Post- Single Line Diagram,Jessica Brown
Ferric Chloride Metering to Post- Cable Layout,Jessica Brown
Polymer Metering - Single Line Diagram,Jessica Brown
Polymer Metering - Cable Layout,Jessica Brown
PLC Unit - Single Line Diagram,Jessica Brown
PLC Unit - Cable Layout,Jessica Brown
Operator Equipment - Single Line Diagram,Jessica Brown
Operator Equipment - Cable Layout,Jessica Brown
Building - Ground Floor Plan,Emily Rodriguez
Building - Roof Plan,Emily Rodriguez
Building - Elevations 1,Emily Rodriguez
Building - Elevations 2,Emily Rodriguez
Building - Finish Schedule,Emily Rodriguez
Building - General Notes,Sarah Thompson
Building - Foundation Drawing,Sarah Thompson
Building - Grade Slab and Beam Plan,Sarah Thompson
Building - Roof Slab and Beam Plan,Sarah Thompson
Building - HVAC Layout and Details,Robert Martinez
Building - Sanitary Sewer,Amanda Johnson
Building - Potable Water,Amanda Johnson
Building - Fire Protection Layout,Robert Martinez
